FraudRatio(alpha),SampleSize(K),EmpiricalPd,TheoreticalPd
0.01,10,0.0952,0.0956
0.01,50,0.3874,0.3950
0.01,90,0.5847,0.5953
0.01,150,0.7726,0.7785
0.01,200,0.8696,0.8660
0.03,10,0.2586,0.2626
0.03,50,0.7814,0.7819
0.03,90,0.9355,0.9355
0.03,150,0.9893,0.9896
0.03,200,0.9978,0.9977
0.05,10,0.4108,0.4013
0.05,50,0.9233,0.9231
0.05,90,0.9888,0.9901
0.05,150,0.9995,0.9995
0.05,200,1.0000,1.0000
0.1,10,0.6539,0.6513
0.1,50,0.9948,0.9948
0.1,90,1.0000,0.9999
0.1,150,1.0000,1.0000
0.1,200,1.0000,1.0000
